liberty-mutual-group-property-inspection-prediction,D:\crw_data\np.array\source569,"np.hstack((x_num_data, vec_x_cat_data))","np.append(x_num_data, vec_x_cat_data, axis=1)",np.hstack,np.append
liberty-mutual-group-property-inspection-prediction,D:\crw_data\np.array\source569,"np.hstack((x_num_data, vec_x_cat_data))","np.concatenate((x_num_data, vec_x_cat_data), axis=1)",np.hstack,np.concatenate
digit-recognizer,D:\crw_data\df.astype\source2,np.array(train_raw['label']),np.concatenate([train_raw['label']]),np.array,np.concatenate
digit-recognizer,D:\crw_data\df.astype\source2,"np.sum(t, axis=0)",(t).sum( axis=0),np.sum,np.ndarray.sum
digit-recognizer,D:\crw_data\df.astype\source2,np.sum(logprobs),(logprobs).sum(),np.sum,np.ndarray.sum
titanic,D:\crw_data\np.concatenate\source113,"np.ones((1, m), dtype=np.float)","np.empty((1, m), dtype=np.float); r2.fill(1)",np.ones,np.empty
talkingdata-mobile-user-demographics,D:\crw_data\np.ones\source68,np.ones(len(FLS)),np.empty(len(FLS)); r2.fill(1),np.ones,np.empty
titanic,D:\crw_data\np.zeros\source398,data.ix[891:],data.iloc[891:],pd.DataFrame.ix,pd.DataFrame.iloc
sberbank-russian-housing-market,D:\crw_data\np.array\source868,"test.loc[equal_index, 'full_sq']","test.ix[equal_index, 'full_sq']",pd.DataFrame.loc,pd.DataFrame.ix
sberbank-russian-housing-market,D:\crw_data\np.array\source868,"train.loc[kitch_is_build_year, 'build_year']","train.ix[kitch_is_build_year, 'build_year']",pd.DataFrame.loc,pd.DataFrame.ix
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'life_sq']","train.loc[bad_index, 'life_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[equal_index, 'full_sq']","test.loc[equal_index, 'full_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[equal_index, 'life_sq']","test.loc[equal_index, 'life_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'life_sq']","test.loc[bad_index, 'life_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'life_sq']","train.loc[bad_index, 'life_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'life_sq']","test.loc[bad_index, 'life_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'full_sq']","train.loc[bad_index, 'full_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'full_sq']","test.loc[bad_index, 'full_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[kitch_is_build_year, 'kitch_sq']","train.loc[kitch_is_build_year, 'kitch_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[kitch_is_build_year, 'build_year']","train.loc[kitch_is_build_year, 'build_year']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'kitch_sq']","train.loc[bad_index, 'kitch_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'kitch_sq']","test.loc[bad_index, 'kitch_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'kitch_sq']","train.loc[bad_index, 'kitch_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'kitch_sq']","test.loc[bad_index, 'kitch_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'full_sq']","train.loc[bad_index, 'full_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'full_sq']","test.loc[bad_index, 'full_sq']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, ['life_sq', 'full_sq']]","train.loc[bad_index, ['life_sq', 'full_sq']]",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, ['life_sq', 'full_sq']]","test.loc[bad_index, ['life_sq', 'full_sq']]",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'build_year']","train.loc[bad_index, 'build_year']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'build_year']","test.loc[bad_index, 'build_year']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'num_room']","train.loc[bad_index, 'num_room']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'num_room']","test.loc[bad_index, 'num_room']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'num_room']","train.loc[bad_index, 'num_room']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'num_room']","test.loc[bad_index, 'num_room']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, ['max_floor', 'floor']]","train.loc[bad_index, ['max_floor', 'floor']]",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'floor']","train.loc[bad_index, 'floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'max_floor']","train.loc[bad_index, 'max_floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'max_floor']","test.loc[bad_index, 'max_floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'max_floor']","train.loc[bad_index, 'max_floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"test.ix[bad_index, 'max_floor']","test.loc[bad_index, 'max_floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'floor']","train.loc[bad_index, 'floor']",pd.DataFrame.ix,pd.DataFrame.loc
sberbank-russian-housing-market,D:\crw_data\np.array\source57,"train.ix[bad_index, 'state']","train.loc[bad_index, 'state']",pd.DataFrame.ix,pd.DataFrame.loc
mercedes-benz-greener-manufacturing,D:\crw_data\np.hstack\source43,"np.hstack((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed))","np.concatenate((np.reshape(self.estimator.predict(X), (-1, 1)), X_transformed), axis=1)",np.hstack,np.concatenate
pubg-finish-placement-prediction,D:\crw_data\pd.read_csv\source1181,"df_train.loc[:, (['winPlacePerc'])]","df_train.ix[:, (['winPlacePerc'])]",pd.DataFrame.loc,pd.DataFrame.ix
pubg-finish-placement-prediction,D:\crw_data\pd.read_csv\source1181,"df_test.loc[:, :]","df_test.ix[:, :]",pd.DataFrame.loc,pd.DataFrame.ix
titanic,D:\crw_data\pd.concat\source1069,combined.ix[train_rows + 1:],combined.iloc[train_rows + 1:],pd.DataFrame.ix,pd.DataFrame.iloc
titanic,D:\crw_data\pd.concat\source1068,combined.ix[train_rows + 1:],combined.iloc[train_rows + 1:],pd.DataFrame.ix,pd.DataFrame.iloc
titanic,D:\crw_data\pd.concat\source1067,combined.ix[train_rows + 1:],combined.iloc[train_rows + 1:],pd.DataFrame.ix,pd.DataFrame.iloc
titanic,D:\crw_data\pd.concat\source1066,combined.ix[train_rows + 1:],combined.iloc[train_rows + 1:],pd.DataFrame.ix,pd.DataFrame.iloc
titanic,D:\crw_data\pd.concat\source1065,combined.ix[train_rows + 1:],combined.iloc[train_rows + 1:],pd.DataFrame.ix,pd.DataFrame.iloc
