airbnb-recruiting-new-user-bookings,4,6,0,6,0
allstate-claims-severity,14,31,5,33,5
bnp-paribas-cardif-claims-management,11,20,2,20,2
bosch-production-line-performance,4,6,2,6,2
carvana-image-masking-challenge,2,2,0,2,0
caterpillar-tube-pricing,12,25,2,27,2
costa-rican-household-poverty-prediction,3,11,0,13,0
coupon-purchase-prediction,1,2,0,2,0
crowdflower-search-relevance,4,8,3,10,5
digit-recognizer,36,98,44,107,46
expedia-hotel-recommendations,5,9,5,9,5
facebook-v-predicting-check-ins,23,52,11,63,11
favorita-grocery-sales-forecasting,6,6,0,6,0
flavours-of-physics,1,2,2,2,2
ghouls-goblins-and-ghosts-boo,2,8,1,8,1
grupo-bimbo-inventory-demand,10,18,3,18,3
home-credit-default-risk,16,76,6,76,6
homesite-quote-conversion,3,5,2,5,2
house-prices-advanced-regression-techniques,24,131,23,135,24
how-much-did-it-rain,2,2,2,2,2
instacart-market-basket-analysis,5,11,2,11,2
introducing-kaggle-scripts,4,4,3,4,3
jigsaw-toxic-comment-classification-challenge,8,15,6,16,6
kobe-bryant-shot-selection,10,26,15,41,27
leaf-classification,1,4,0,4,0
liberty-mutual-group-property-inspection-prediction,20,39,20,56,25
mercedes-benz-greener-manufacturing,8,22,8,30,10
new-york-city-taxi-fare-prediction,3,5,1,6,1
nyc-taxi-trip-duration,3,10,1,10,1
otto-group-product-classification-challenge,3,6,4,6,4
PLAsTiCC-2018,2,8,4,11,5
porto-seguro-safe-driver-prediction,11,75,2,76,2
predicting-red-hat-business-value,5,12,1,12,1
prudential-life-insurance-assessment,11,32,21,34,21
pubg-finish-placement-prediction,8,19,4,21,4
quora-question-pairs,2,3,1,3,1
recruit-restaurant-visitor-forecasting,5,7,2,8,2
rossmann-store-sales,8,31,6,34,6
santa-gift-matching,3,6,3,6,3
santander-customer-satisfaction,9,27,4,30,5
santander-product-recommendation,5,12,6,18,9
santander-value-prediction-challenge,6,15,4,16,4
sberbank-russian-housing-market,22,392,318,394,319
sf-crime,7,48,12,48,12
shelter-animal-outcomes,8,88,62,90,63
springleaf-marketing-response,2,4,0,4,0
talkingdata-adtracking-fraud-detection,3,4,1,4,1
talkingdata-mobile-user-demographics,10,16,7,18,7
tap30challenge,2,4,1,5,1
titanic,177,879,95,903,104
web-traffic-time-series-forecasting,6,18,2,20,2
whats-cooking-kernels-only,2,10,2,12,2
whats-cooking,3,3,0,3,0
zillow-prize-1,9,14,0,17,0
traveling-santa-2018-prime-paths,4,5,0,5,0
the-nature-conservancy-fisheries-monitoring,1,1,0,1,0
home-depot-product-search-relevance,8,15,0,15,0
santas-uncertain-bags,1,2,0,2,0
forest-cover-type-kernels-only,1,4,0,5,0
transfer-learning-on-stack-exchange-tags,1,1,0,1,0
elo-merchant-category-recommendation,1,1,0,1,0
catch-me-if-you-can-intruder-detection-through-webpage-session-tracking2,1,2,0,2,0
donorschoose-application-screening,1,1,0,1,0
microsoft-malware-prediction,2,8,0,8,0
ga-customer-revenue-prediction,1,1,0,1,0
santas-stolen-sleigh,1,1,0,1,0
predict-west-nile-virus,2,2,0,2,0
