airbnb-recruiting-new-user-bookings,4,5,0,5,0,1
allstate-claims-severity,9,14,6,18,8,15
bnp-paribas-cardif-claims-management,9,11,2,11,2,9
bosch-production-line-performance,4,4,2,4,2,4
carvana-image-masking-challenge,2,2,0,2,0,2
caterpillar-tube-pricing,6,9,2,10,2,3
costa-rican-household-poverty-prediction,3,4,0,6,0,2
coupon-purchase-prediction,1,2,0,2,0,1
crowdflower-search-relevance,3,5,3,7,5,7
digit-recognizer,35,80,44,92,49,63
expedia-hotel-recommendations,4,8,5,8,5,6
facebook-v-predicting-check-ins,19,29,12,34,16,26
favorita-grocery-sales-forecasting,2,2,0,2,0,1
flavours-of-physics,1,2,2,2,2,2
ghouls-goblins-and-ghosts-boo,2,4,1,4,1,1
grupo-bimbo-inventory-demand,8,9,3,9,3,5
home-credit-default-risk,6,10,6,10,6,9
homesite-quote-conversion,1,2,2,2,2,2
house-prices-advanced-regression-techniques,21,52,25,57,28,43
how-much-did-it-rain,2,2,2,2,2,2
instacart-market-basket-analysis,4,7,2,7,2,6
introducing-kaggle-scripts,4,4,3,4,3,3
jigsaw-toxic-comment-classification-challenge,4,9,6,9,6,8
kobe-bryant-shot-selection,9,19,15,32,27,28
leaf-classification,1,1,0,1,0,1
liberty-mutual-group-property-inspection-prediction,12,27,20,43,27,40
mercedes-benz-greener-manufacturing,7,14,8,20,12,16
new-york-city-taxi-fare-prediction,2,3,1,3,1,1
nyc-taxi-trip-duration,2,5,1,5,1,3
otto-group-product-classification-challenge,3,6,4,6,4,6
PLAsTiCC-2018,2,6,4,12,9,9
porto-seguro-safe-driver-prediction,5,7,2,8,2,7
predicting-red-hat-business-value,3,4,1,4,1,3
prudential-life-insurance-assessment,9,26,21,32,25,28
pubg-finish-placement-prediction,4,11,4,11,4,7
quora-question-pairs,2,3,1,3,1,2
recruit-restaurant-visitor-forecasting,5,7,2,8,2,5
rossmann-store-sales,8,13,6,13,6,10
santa-gift-matching,3,6,3,6,3,5
santander-customer-satisfaction,8,12,4,13,5,11
santander-product-recommendation,5,9,6,15,9,14
santander-value-prediction-challenge,3,7,4,7,4,4
sberbank-russian-housing-market,21,336,318,497,478,493
sf-crime,7,21,12,21,12,19
shelter-animal-outcomes,5,68,62,70,63,66
springleaf-marketing-response,1,1,0,1,0,1
talkingdata-adtracking-fraud-detection,2,3,1,3,1,1
talkingdata-mobile-user-demographics,10,14,7,17,8,10
tap30challenge,2,3,1,4,1,1
titanic,154,337,95,362,107,247
web-traffic-time-series-forecasting,4,7,2,8,2,5
whats-cooking-kernels-only,2,5,2,7,2,3
whats-cooking,1,1,0,1,0,0
zillow-prize-1,4,5,0,7,0,0
traveling-santa-2018-prime-paths,2,3,0,3,0,0
the-nature-conservancy-fisheries-monitoring,1,1,0,1,0,0
home-depot-product-search-relevance,1,1,0,1,0,0
santas-uncertain-bags,0,0,0,0,0,0
forest-cover-type-kernels-only,1,1,0,1,0,0
transfer-learning-on-stack-exchange-tags,0,0,0,0,0,0
elo-merchant-category-recommendation,0,0,0,0,0,0
catch-me-if-you-can-intruder-detection-through-webpage-session-tracking2,1,1,0,1,0,0
donorschoose-application-screening,0,0,0,0,0,0
microsoft-malware-prediction,0,0,0,0,0,0
ga-customer-revenue-prediction,0,0,0,0,0,0
santas-stolen-sleigh,0,0,0,0,0,0
predict-west-nile-virus,0,0,0,0,0,0
